;;
149.  ;Дом Телецкого;Приморский край, г. Владивосток, переулок Краснознаменный, 12
150.  ;Дом Телецкого;Приморский край, г. Владивосток, ул. Семеновская, д. 29
151.  ;Здание, в котором размещалось Владивостокское городское училище - старейшее учебное заведение Владивостока;Приморский край, г. Владивосток, ул. Лазо, 4
152.  ;Жилой дом;Приморский край, г. Владивосток, ул. Лазо, 6-Б
153.  ;Дом, в котором в 1921 г. размещалась подпольная типография и конспиративная явка Владивостокской организации РКП(б);Приморский край, г. Владивосток, ул. Лазо, 20
154.  ;Дом, в котором находилась конспиративная квартира председателя Облревкома   В.Шишкина в 1921 г;Приморский край, г. Владивосток, ул. Лазо, 16
155.  ;Склад-холодильник «Унион»;Приморский край, г. Владивосток, Ланинский пер., 4
156.  ;Памятник адмиралу С.О.Макарову;Приморский край, г.Владивосток,в районе  ул.Набережная,20
157.  ;Дом жилой;Приморский край, г. Владивосток, ул. Луговая, 21
158.  ;Здание, в котором в 1921-1924 гг. размещался Владивостокский (ныне - Дальневосточный) политехнический институт;Приморский край, г. Владивосток, ул. Луговая, 33
159.  ;Канцелярия 2-го округа Приамурского Акцизного Управления;Приморский край, г. Владивосток, ул. Мордовцева, 5
160.  ;Доходный дом;Приморский край, г. Владивосток, ул. Мордовцева, д.8
161.  ;"Кинотеатр ""Океан""";Приморский край, г. Владивосток, ул. Набережная, 3
162.  ;Дом Суворова;Приморский край, г. Владивосток, ул. Набережная, 12
163.  ;Памятник (бюст) Героя Советского Союза Елизаветы Чайкиной, 1969 г;Приморский край, г. Владивосток, ул. Набережная, в районе д. 1
164.  ;Здание Морвокзала Владивостокского торгового порта, постройки 1964 г., архитектор М. Бронников;Приморский край, г. Владивосток, ул. Нижнепортовая, 1
165.  ;Дом жилой;Приморский край, г. Владивосток, ул. Новоивановская, 3
166.  ;Дом жилой;Приморский край, г. Владивосток, Океанский пр., 8, стр.А
167.  ;Дом жилой;Приморский край, г. Владивосток, ул. Адмирала Фокина, 22
168.  ;Жилой дом;Приморский край, г. Владивосток, Океанский пр., 12
169.  ;Дом доходный;Приморский край, г. Владивосток, Океанский пр., 13а, стр. Б
170.  ;Здание Черепановской школы;Приморский край, г. Владивосток, Океанский пр., 18, лит.А
171.  ;"Здание гостиницы ""Красный Владивосток""";Приморский край, г. Владивосток, Океанский пр., 19, лит.А
172.  ;Здания Владивостокского телеграфа;Океанский пр.,24, лит.А
173.  ;"Здание гостиницы ""Сибирское подворье"", связанное с пребыванием во Владивостоке известных ученых: профессора П. В. Виттенбурга, академика В. Л. Комарова, певицы А. Вяльцевой";Приморский край, г. Владивосток, Океанский пр-кт, 26
174.  ;Жилой дом;Приморский край, г. Владивосток, Океанский пр., 28/54
175.  ;Детская больница;Приморский край, Владивостокский городской округ, г. Владивосток, Океанский проспект, 35
176.  ;Педагогический техникум;Приморский край, г. Владивосток, Океанский пр-кт, 37
177.  ;Дом, в котором в 1919-1925 гг. жил известный исследователь края Арсеньев В.К;Приморский край, г. Владивосток, ул. Петра Великого, 2 лит. А
178.  ;Здание Общества изучения Амурского края – старейшего научного учреждения Приморья;Приморский край, г. Владивосток, ул. Петра Великого, 4
179.  ;Здание музея Общества изучения Амурского края – старейшего музея Дальнего Востока;Петра Великого ул., 6
180.  ;"Здание Нового театра (к-р ""Приморье"")";Приморский край, г. Владивосток, ул. Петра Великого, 8
181.  ;Памятный знак в честь гидрографов-исследователей дальневосточных морей;Приморский край, г. Владивосток, Первого Мая, у дома № 4
182.  ;Памятник рабочим производственного объединения «Эра», погибшим на фронтах Великой Отечественной войны;Приморский край, г. Владивосток, ул. Пионерская, территория предприятия
183.  ;Дом А.Д.Старцева;Приморский край, г. Владивосток, ул. Пограничная, 2
184.  ;Ансамбль жилых домов;Приморский край, г. Владивосток, ул. Махалина, д. 14, стр. 1, 2, 3
;АНСАМБЛЬ;
185.  ;Дом К.Ф. Ильницкого;г. Владивосток, Пограничная ул, 10
186.  ;Дом доходный;Приморрский край, г. Владивосток, ул. Пограничная, 12 а
187.  ;Доходный дом Сигитаро-Такунаго;Приморский край, г. Владивосток, ул. Пограничная, 12 (ул. Семеновская, 3) стр. Д
188.  ;Доходный дом Сигитаро-Такунаго;Приморский край, г. Владивосток, Семёновская ул., 3а
189.  ;Дом доходный Ван-тын-сина;Приморский край, г. Владивосток, ул. Пограничная, 12 в
190.  ;Доходный дом Ван-тын-сина;Пограничная ул, 12 г
191.  ;Дом Ван-тын-сина;Приморский край, г. Владивосток, Пограничная ул, 12 (Семеновская ул., 3) стр. А, Б)
192.  ;Здание китайского театра;Приморский край, г. Владивосток, Пограничная ул, 12Б
193.  ;Памятный знак на месте захоронения  русской революционерки-народоволки Волкенштейн Л.А.;Приморский край, г. Владивосток, Покровский парк
194.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пологая, 16
195.  ;Доходный дом;Приморский край, г. Владивосток, ул. Пологая, 17, стр. 1
196.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пологая, 19
197.  ;Дом, в котором жил и работал известный общественный деятель края В.П. Маргаритов;Приморский край, г. Владивосток, ул. Пологая, 36
198.  ;Жилой дом;Приморский край, г. Владивосток, ул. Пологая, 46
